Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
209,00:00:06.933,0.23619598765432095,2.7821759259259258,0.19704475308641975,0.09111882716049383,0.42042438271604937
210,00:00:06.967,0.07219650205761317,2.111226851851852,0.0279320987654321,0.04111111111111111,0.1475462962962963
211,00:00:07.000,3.4038143004115233,12.655555555555555,4.2619444444444445,0.5945756172839506,5.354922839506173
212,00:00:07.033,0.9625128600823044,12.972337962962962,1.0342978395061728,0.36477623456790126,1.4884645061728394
213,00:00:07.067,0.3701311728395062,4.41724537037037,0.2637422839506173,0.18501543209876542,0.6616358024691358
214,00:00:07.100,0.18151491769547323,3.1619212962962964,0.08638888888888889,0.10486882716049382,0.353287037037037
215,00:00:07.133,2.358482510288066,14.028935185185185,2.2912885802469134,0.6918981481481481,4.092260802469136
216,00:00:07.167,0.38192644032921813,6.929861111111111,0.2625925925925926,0.16236882716049383,0.7208179012345679
217,00:00:07.200,1.5161728395061729,11.390393518518518,1.8463425925925927,0.40565586419753086,2.296520061728395
218,00:00:07.233,2.0286265432098767,9.739583333333334,2.1715046296296294,0.3658873456790123,3.548487654320988
219,00:00:07.267,0.4203446502057613,4.99375,0.673179012345679,0.11308641975308642,0.47476851851851853
220,00:00:07.300,0.22133487654320985,2.205671296296296,0.2545216049382716,0.07233796296296297,0.33714506172839503
221,00:00:07.333,0.7776208847736625,7.226967592592593,1.023858024691358,0.33046296296296296,0.9785416666666666
222,00:00:07.367,0.39222993827160496,5.3262731481481485,0.32556327160493825,0.1914429012345679,0.6596836419753086
223,00:00:07.400,0.6454989711934157,8.344560185185186,0.594375,0.3350617283950617,1.0070601851851853
224,00:00:07.433,0.6144470164609053,5.379398148148148,0.8696064814814815,0.1887422839506173,0.7849922839506173
225,00:00:07.467,0.36449331275720165,4.456597222222222,0.41881172839506176,0.18266975308641975,0.49199845679012344
226,00:00:07.500,0.21469393004115225,4.407407407407407,0.17234567901234568,0.10778549382716049,0.3639506172839506
227,00:00:07.533,1.9649588477366253,12.980208333333334,1.9712808641975308,0.7069675925925926,3.216628086419753
228,00:00:07.567,0.4123431069958848,7.291898148148148,0.3949845679012346,0.19834876543209876,0.643695987654321
229,00:00:07.600,1.2993569958847735,7.840856481481482,1.8076388888888888,0.41108796296296296,1.6793441358024692
230,00:00:07.633,1.502718621399177,6.457638888888889,1.7000077160493827,0.3135956790123457,2.4945524691358023
231,00:00:07.667,0.36141718106995885,5.462037037037037,0.2768132716049383,0.22826388888888888,0.5791743827160494
232,00:00:07.700,0.3689634773662551,4.893402777777778,0.4053935185185185,0.14652777777777778,0.5549691358024691
233,00:00:07.733,0.45223508230452675,5.031134259259259,0.43526234567901234,0.2700925925925926,0.6513503086419753
234,00:00:07.767,0.8276003086419753,3.901736111111111,1.7214891975308642,0.1614891975308642,0.5998225308641976
235,00:00:07.800,0.785817901234568,7.230902777777778,0.9005864197530864,0.32925154320987654,1.1276157407407408
236,00:00:07.833,0.7247247942386831,7.17974537037037,1.250516975308642,0.16992283950617285,0.7537345679012346
237,00:00:07.867,0.9724331275720163,7.13449074074074,1.5368364197530864,0.39530864197530863,0.9851543209876543
238,00:00:07.900,0.5056867283950618,6.312037037037037,0.5616666666666666,0.23387345679012345,0.7215200617283951
239,00:00:07.933,2.478780864197531,10.892592592592592,3.2865663580246913,0.7046064814814815,3.44516975308642
240,00:00:07.967,0.9404423868312756,5.887037037037037,1.8436728395061728,0.1878858024691358,0.7897685185185185
241,00:00:08.000,3.466244855967078,8.726273148148149,6.172052469135802,0.6226157407407408,3.604066358024691
242,00:00:08.033,4.967577160493827,11.205439814814815,8.151520061728394,0.6239814814814815,6.127229938271605
243,00:00:08.067,0.4019418724279835,5.41087962962963,0.5588348765432098,0.19785493827160494,0.4491358024691358
244,00:00:08.100,0.45092592592592595,3.6813657407407407,0.7822685185185185,0.13663580246913581,0.43387345679012346
245,00:00:08.133,0.7148662551440329,7.372569444444444,0.9063348765432099,0.35814043209876545,0.8801234567901235
246,00:00:08.167,0.49809670781893,5.092129629629629,0.677554012345679,0.20395833333333332,0.6127777777777778
247,00:00:08.200,0.4714506172839506,4.228356481481481,0.536442901234568,0.22590277777777779,0.6520061728395061
248,00:00:08.233,0.9827932098765432,6.923958333333333,1.1536342592592592,0.5055941358024691,1.2891512345679013
249,00:00:08.267,0.37851080246913577,3.520023148148148,0.5173996913580247,0.18348765432098765,0.43464506172839507
